Date,Open,High,Low,Close,Volume,Range,Return_%,H>=L,Valid_Range,EMH,EML,ExpRange
2025-01-02,21269.0,21490.5,20983.75,21167.5,658867,506.75,-0.2779544437377823,True,True,21508.0,21020.25,487.75
2025-01-03,21186.75,21559.25,21144.0,21516.5,479422,415.25,1.648753986063545,True,True,21428.25,20929.75,498.5
2025-01-06,21532.25,21896.75,21478.25,21744.5,562266,418.5,1.059651895057279,True,True,21790.25,21275.25,515.0
2025-01-07,21781.25,21806.0,21279.5,21359.75,632582,526.5,-1.769412955000116,True,True,22052.75,21524.25,528.5
2025-01-08,21380.75,21448.25,21166.25,21360.75,626784,282.0,0.004681702735287452,True,True,21652.25,21101.25,551.0
2025-01-09,21334.75,21360.75,21218.0,21360.75,77136,142.75,0.0,True,True,21619.25,21062.0,557.25
2025-01-10,21302.75,21372.5,20874.75,21016.0,691607,497.75,-1.613941458048052,True,True,21566.5,21022.75,543.75
2025-01-13,21027.5,21037.0,20694.0,20947.25,606694,343.0,-0.3271317091739667,True,True,21291.25,20733.5,557.75
2025-01-14,21020.0,21143.75,20773.5,20919.5,664463,370.25,-0.1324756232918389,True,True,21281.25,20730.75,550.5
2025-01-15,20977.0,21452.75,20909.0,21400.25,543896,543.75,2.29809507875427,True,True,21238.25,20677.0,561.25
2025-01-16,21389.0,21567.25,21172.25,21249.75,586335,395.0,-0.7032628123503248,True,True,21676.0,21089.0,587.0
2025-01-17,21227.5,21682.5,21209.25,21594.75,580295,473.25,1.623548512335438,True,True,21516.75,20929.75,587.0
2025-01-20,21600.0,21778.75,21526.5,21683.0,155119,252.25,0.4086641429051019,True,True,21893.5,21289.0,604.5
2025-01-21,21687.25,21783.5,21377.75,21709.5,499684,405.75,0.12221556057741,True,True,21967.25,21411.5,555.75
2025-01-22,21809.25,22093.5,21768.25,22000.5,486785,325.25,1.340427002003741,True,True,22088.75,21530.25,558.5
2025-01-23,21981.75,22050.5,21863.0,22038.25,463540,187.5,0.1715870093861538,True,True,22228.5,21702.75,525.75
2025-01-24,22018.5,22078.25,21844.0,21911.25,519264,234.25,-0.5762708019012353,True,True,22257.75,21739.5,518.25
2025-01-27,21771.0,21771.0,20763.75,21258.5,1034724,1007.25,-2.979063266586801,True,True,22011.0,21501.75,509.25
2025-01-28,21343.25,21626.0,21159.5,21581.75,649291,466.5,1.520568243290921,True,True,21583.25,21030.5,552.75
2025-01-29,21559.0,21697.0,21367.0,21523.25,624949,330.0,-0.2710623559257219,True,True,21806.75,21249.5,557.25
2025-01-30,21547.75,21748.75,21419.5,21624.75,612641,329.25,0.4715830555329648,True,True,21795.5,21248.0,547.5
2025-01-31,21680.0,21966.0,21533.75,21589.25,646032,432.25,-0.1641637475577773,True,True,21925.75,21373.75,552.0
2025-02-03,21200.0,21579.75,20943.0,21405.0,720963,636.75,-0.8534340007179453,True,True,21445.75,20898.75,547.0
2025-02-04,21592.0,21694.0,21242.5,21670.25,491670,451.5,1.239196449427693,True,True,21851.5,21290.75,560.75
2025-02-05,21562.0,21795.0,21429.75,21763.0,493018,365.25,0.4280061374464905,True,True,21823.5,21260.75,562.75
2025-02-06,21764.5,21882.25,21705.75,21871.75,436067,176.5,0.499701327941926,True,True,22025.0,21469.75,555.25
2025-02-07,21817.75,21968.0,21552.75,21590.75,591408,415.25,-1.28476230754283,True,True,22067.5,21510.25,557.25
2025-02-10,21463.25,21894.0,21418.0,21846.5,385196,476.0,1.184535043942425,True,True,21725.5,21158.25,567.25
2025-02-11,21832.0,21871.5,21669.5,21786.75,418710,202.0,-0.2734991875128712,True,True,22099.25,21531.5,567.75
2025-02-12,21794.25,21862.5,21510.75,21804.75,540962,351.75,0.08261902303006163,True,True,22061.5,21505.75,555.75
